freq (GHz)   S (cm-1/mol/cm^2)  E_low (cm-1) 
   368.477730  3.77815e-25     1157.551 
   368.629935  6.69082e-22      191.843 
   368.764086  5.53706e-23      454.874 
   368.973793  2.48702e-27     2781.197 
   369.283002  5.31471e-28     3116.743 
   369.294799  1.03200e-28     3471.173 
   369.317200  6.43842e-28     3114.519 
   370.108624  4.64172e-23       77.771 
   371.172452  3.59318e-22       16.395 
   372.192983  3.46561e-23      595.768 
   372.233007  6.42509e-26     2117.251 
   372.893915  3.26197e-24      318.997 
   373.095790  1.66065e-25     1713.108 
   374.478691  6.60662e-24      272.311 
   375.178490  2.22269e-24      591.178 
   375.259120  1.91505e-23      755.973 
   375.371142  8.54632e-23      138.034 
   376.641079  6.50398e-22      223.056 
   377.485964  1.60502e-24      794.646 
   377.499689  8.26760e-23      872.575 
   377.978962  9.42062e-24      935.462 
   378.602648  3.18478e-27     2779.563 
   379.030802  2.94767e-24     1272.505 
   379.781025  1.06900e-22      794.646 
   380.124399  9.68009e-23      217.673 
   380.157597  6.35447e-23      940.306 
   380.364792  4.14839e-24     1134.206 
   380.384813  8.67120e-24     1026.758 
   380.433685  1.34735e-21      128.811 
   380.466242  4.29121e-24      499.482 
   380.491305  4.85936e-22      369.135 
   380.720405  5.22492e-28     2697.627 
   382.425666  1.64165e-24     1352.170 
   382.442797  9.98112e-29     3530.891 
   382.851509  9.01113e-25     1544.436 
   382.973233  2.05627e-22      603.692 
   383.017878  2.19371e-22      306.272 
   383.550902  3.10013e-27     2279.979 
   383.653045  1.43113e-24      816.022 
   384.006534  7.43326e-25     1586.946 
   384.168259  5.85301e-25     1589.318 
   384.408428  8.55420e-23      316.678 
   384.442561  1.09189e-22      807.314 
   384.642627  8.99455e-28     2536.111 
