freq (GHz)   S (cm-1/mol/cm^2)  E_low (cm-1) 
   306.867118  2.23913e-24      637.462 
   307.085450  1.31910e-25     1869.124 
   307.365884  1.95380e-22      560.555 
   307.868347  4.22648e-25     1611.847 
   307.910049  5.98108e-24      309.281 
   308.248095  3.18331e-24     1154.404 
   308.430181  3.76426e-24     1118.352 
   308.684847  3.11372e-26     2147.216 
   309.618280  1.07295e-24      782.039 
   309.815957  3.23876e-22      349.319 
   309.870293  1.11398e-23      834.956 
   310.340901  1.62622e-23       44.208 
   310.375890  2.36363e-22      508.553 
   310.676115  1.09567e-25     1870.946 
   311.196571  4.50069e-22      151.923 
   311.485379  8.59962e-22       83.781 
   311.487369  5.32328e-22      150.345 
   311.853898  1.75784e-27     2359.426 
   312.400254  3.49043e-25     1613.630 
   312.603283  5.36141e-23       90.902 
   312.617640  8.51293e-27     1979.596 
   312.796450  3.17819e-25     1154.253 
   313.402271  3.89206e-28     3146.140 
   313.775088  9.49903e-26     1709.062 
   313.803676  1.64581e-22      615.011 
   313.852860  1.00526e-24     1375.312 
   314.318557  3.45127e-24      245.178 
   314.320735  7.26908e-23      156.834 
   314.575363  3.84131e-24      418.990 
   315.027856  2.61144e-24     1156.033 
   315.193201  2.31515e-22      498.040 
   315.546593  7.15121e-23      242.001 
   315.917109  6.10491e-24      955.830 
   315.928990  7.04659e-25      966.976 
   316.339791  3.30278e-22       37.920 
   316.339880  5.75810e-23      346.392 
   316.509769  1.28020e-23      774.735 
   316.743269  3.96990e-23      469.992 
   316.791574  2.39541e-23      612.780 
   316.888792  1.88573e-27     2810.139 
   318.151001  1.92035e-26     1828.287 
   318.254334  4.73456e-28     2631.469 
   319.055018  2.59047e-24      298.638 
   319.536520  1.42456e-25     1364.020 
   319.787876  6.81992e-24      987.863 
   320.084681  2.92469e-25     1143.576 
   320.174089  5.75545e-28     3033.905 
   320.227891  8.30767e-27     2492.952 
   320.597197  9.28494e-22       94.171 
   321.281634  2.89520e-22      459.087 
   321.832871  1.33592e-24     1373.560 
   323.058530  2.66673e-27     2704.212 
   323.528696  2.47502e-22       10.415 
   323.806691  5.60376e-22      124.864 
   324.913913  3.35722e-26     2194.631 
   324.917324  6.00315e-27     2068.642 
   325.327062  5.13782e-26     1572.553 
   325.672177  1.12171e-26     2393.329 
   325.997648  2.75473e-22      154.002 
   327.357912  1.21585e-25     1915.235 
   327.811241  2.34466e-24     1108.593 
   328.013771  4.28134e-26     2101.310 
   329.292885  1.41215e-24      792.366 
   329.499374  7.27745e-24       39.747 
   330.030563  8.88340e-24      899.157 
   330.080778  1.48074e-25     1828.205 
   330.191157  1.72298e-22       18.709 
   330.519071  1.41442e-22      671.842 
   330.667757  2.95992e-22      140.893 
   331.764541  1.18408e-24     1413.396 
   331.866811  4.88517e-23       83.247 
   331.869346  4.63425e-25     1574.060 
   331.881606  4.57488e-24      113.002 
   331.933696  1.92921e-24      693.549 
   332.173571  4.67282e-22      179.871 
   332.836230  5.66865e-22      102.117 
   333.179334  1.56092e-25       13.280 
   333.364107  1.72735e-22      268.321 
   333.374149  1.31063e-24     1338.920 
   333.683899  7.50549e-23      145.983 
   334.588120  3.34179e-24     1122.822 
   334.724728  3.37504e-28     3205.405 
   334.996535  7.83212e-23      227.952 
   335.502012  7.66266e-24      925.805 
   335.854830  6.55359e-23      329.144 
   336.103829  1.57391e-23      747.901 
   336.303871  4.65457e-23      449.546 
   336.362901  7.78896e-26     1496.295 
   336.377885  2.87991e-23      589.139 
   337.104079  4.17618e-25     1654.790 
   337.872681  3.56188e-22      412.230 
   338.307369  1.65874e-27     2866.288 
   338.320360  4.33590e-22       52.971 
   338.785688  5.48251e-22       82.074 
   339.202954  8.23719e-28     2979.177 
   340.204506  3.92717e-24      498.040 
   340.551208  4.10373e-24     1035.951 
   340.856944  6.38380e-24      966.145 
   341.639078  3.46401e-24      464.563 
   342.189303  3.75301e-27     2652.628 
   342.208860  2.88855e-22       12.979 
   342.231633  6.16424e-22      126.368 
   342.332015  5.04521e-22       64.696 
   342.588751  6.25143e-24      271.518 
   342.684592  7.45726e-27     2545.975 
   342.756554  5.75810e-25     1035.877 
   342.839888  1.27667e-27     2419.009 
   342.901540  1.23703e-27     2466.527 
   343.096786  3.25671e-24      280.233 
   343.547835  2.34412e-24      537.289 
   344.245348  4.37501e-22       49.947 
   344.581045  1.08938e-21      104.865 
   344.807916  5.39609e-22       72.915 
   344.895861  1.55231e-26     2344.898 
   344.987585  5.84493e-22       91.449 
   344.998162  4.77287e-22       56.942 
   345.168666  3.48883e-22       37.795 
   345.285622  3.96807e-22       43.531 
   345.519658  2.96469e-22       32.683 
   345.553095  2.37673e-22       28.220 
   345.651296  1.71506e-22       24.394 
   345.678789  9.47064e-23       21.207 
   345.929285  6.13591e-22      112.533 
   346.059186  3.03095e-26     2244.525 
   346.340909  3.54960e-28     2922.404 
   347.320613  5.82478e-26     2056.039 
   347.483012  3.84485e-22      259.927 
   348.008734  1.10606e-25     1445.701 
   348.050323  1.41834e-26     1922.704 
   348.117468  6.28462e-22      136.157 
   349.460235  1.97961e-25     1786.100 
   350.351878  2.93616e-24     1228.377 
   350.619485  1.04443e-22      400.535 
